事件標題,選項A文字,企劃編號,事件內容,
全台進入緊急狀態！,現在，該行動了。,B2-01,手機上一陣陣緊報聲響個不停、電視上所有節目全部暫停播放、防空警報刺穿整座城市的夜空，一切都變了，塗著綠色迷彩的雲豹甲車駛過一個又一個路口，每一個交流道、十字路口現在全都有士兵站崗執哨，步槍冷硬的邊緣取代原本逐漸恢復元氣的天際線。\n\n「各位民眾大家好，鑑於中華民國以出現再次動盪的苗頭，為保障各地居民之安全無虞，政府在此宣布全台進入緊急狀態，國軍將負責維持各地秩序，請民眾無需驚慌。各位民眾大家好……」身穿野戰軍服的主持人對著鏡頭面不改色地復讀這份緊急通報，大量民眾本能性地抱著頭跑向離自己最近的防空掩體，台海戰爭的深刻教訓猶在眼前，與其討論限制公民自由，顯然是優先保護自己的命最重要。\n\n不過有少部分人不這麼認為，他們站上街頭對著國軍大罵，罵他們是獨裁政府的走狗、是助「韓」為虐的幫兇。甚至還有些人拿出手機對著面前的國軍直播，Youtube、FB、IG……社交平台上大量出現各種國軍管制秩序的各種暴力行為，不過沒過幾分鐘這些直播都消失的無影無蹤。\n\n再過幾分鐘，任何無線網路設備都會變成死硬的磚頭，電子戰部隊將全面接管所有的民用網路通訊。而那些攻擊士兵或不願意配合的人，韓國瑜已經下令，允許各級指揮單位相機行事，無論是否見血都必須控制住局勢。\n\n韓總統調整座椅，望向身後車來車往的凱達格蘭大道，憲兵正有序地引導民眾進入地下掩體，為了把戲做足，他甚至還讓命令國軍，在重建區安放了一些炸彈引發民眾的恐慌。他知道此時再也沒有回頭路了，韓國瑜回正座椅，默默地盯著眼前的幕僚----,
危機的前一夜,「賀啊！我順道把報告送給陳寶餘參謀！」,B2-02,夜幕低垂的台北市如往常般繁忙，戰爭帶來的傷痕正慢慢被平復，著每一位打工人乘著台北橋上那熟悉的機車瀑布，慢慢飄回那座最安全的港灣。李四川自己也不例外，任何在台北工作的人都躲不了湧出台北盆地的人潮，雖然他能跟相關部門申請一台公務車外加一個司機，但大多數時候也都是被塞在華翠大橋上動彈不得，還不如騎機車來的靈活方便。\n\n不過今晚的他不必惱人的車潮，但這也是唯一一次讓他這麼懷念過去單純的日子，十多名跟他一樣在政壇打滾十多年的老將齊聚一堂，每個人桌前散亂地擺放著剛吃完的便當，還有那份擺得整整齊齊的「戒字第一號計畫實施方案」。李四川大致翻了下，其中的操作細節和戒嚴後的政策規劃詳細到令人冷汗直流，在場沒有其他人願意直視那份方案，也沒有人願意正視坐在正中央的韓總統。\n\n「請問各位有什麼問題嗎?」韓國瑜說，「這是我和國防部的將軍們共同商議出的最合適的方案，既能以最短時間控制局面，也能最大程度降低傷亡。但我還是想聽聽各位的意見。」\n\n「總統先生，恕我直言----」李四川愣住了，韓總統真的還是那個他認識的韓總統嗎?那份方案以及韓總冰冷的語氣，硬生生讓他把剛剛構思的所有建議全都吞入肚裡，他必須構思其他的應對策略……\n\n「但說無妨。四川部長，你跟著我都幹了這麼多年，有甚麼不好意思說的呢?」\n\n「……沒什麼韓總統，只是我想知道這場會大概會開到多久?我今、今天晚上還要幫我孫子買蛋糕慶祝生日----」李四川小心翼翼的編造可信謊言，能讓他離開這裡、向外界求助的謊言。\n\n「嗯…那好吧，你先回家吧。需要我幫你安排公務車嗎?」,
南部民進黨爆發叛亂,下令軍隊血腥鎮壓,B2-03,在政府宣布緊急狀態後不久，南部的局勢就徹底失控了。\n\n最初，只是高雄街頭幾名拒絕接受軍方管制的民眾與國軍爆發衝突，不過隨著槍聲響起，一切的性質都變了，人群尖叫著四處逃竄，只留下幾具滿是彈孔的屍體在原地。整個過程被附近的居民拍了下來，並想盡辦法轉發，憤怒的情緒開始逐漸蔓延。\n\n「這是我們挽救民主的最後機會！」「去你的獨裁政府！」民進黨地方人士開始在街頭奔走，盡可能的召集支持者，雖然通訊遭到干擾，但南部作為民進黨的大本營，還是成功聚集了一批人。在辦公室改造成的指揮所內，看著這隻臨時組建的部隊，大家對接下來的行動越來越沒底氣，與其說是部隊，這更像是一群武裝暴民，大部分人只有棍棒與燃燒瓶，槍枝更是沒有幾把，但這是他們最後的機會了，必須得打軍警一個措手不及才有可能獲勝。\n\n叛亂初期叛軍取得了一定進展，在警察和軍方反應過來前便控制了許多關鍵設施，甚至將警察趕出了部分地區，叛軍在佔領的警局和政府機關插上了民進黨和象徵台獨的旗幟，這標誌著中央政府喪失了對這些地方的控制。在這之後民兵們開始不斷加強他們的陣地，所有人都明白以他們孱弱的火力和糟糕的訓練，在面對警方甚至國軍的反撲時將意味著什麼。,
軍隊譁變！,直到散會前，門再也沒有開關過,B2-04,隨著政府鎮壓命令的下達，八軍團指揮層內部陷入了一片沉默。軍隊的職責應該是保家衛國，應該對準敵人的槍口卻叫他們將槍口對準了自己的同胞，何況軍隊內部不少基層官兵就是出身自那些「叛亂地區」，這叫他們該如何下達命令？說到底，民進黨的叛亂本身就是反對韓國瑜總統獨斷專行的戒嚴命令所造就的結果，真有派遣軍隊血腥鎮壓之必要？這場臨時叛亂跟本不可能事先準備大量的輕武器，為何不能夠派遣警察處理？但軍人的職責便是效忠中央政府，這寧靜的沉默便是高層能做出的最大抵抗。\n\n「我不要……」有人開口。年輕的將領站了起來，他因台海戰爭期間在南部抵抗中共立下不少戰功而順利晉升，因此他對這份命令的情緒波動比在場的人都更加強烈。「他們只是民人啊！我的部隊在台海戰爭期間被共軍包圍身陷囹圄時，是這群民人冒著生命危險運送飲水食物鼓勵我們，所以我能活著站在這裡。現在你我要指揮部隊拿槍對準他們？別開玩笑了！如果我所保衛的國家要我攻擊民人，那請現在把我送上軍事法庭，我拒絕執行命令！」會場再度陷入沉寂，沒有任何人站起來反駁他是錯誤，執行本職與道德良心正激烈交鋒，年輕將領的一番話打破了平衡。場內於台海後晉升的年輕軍官紛紛站起支持，稍有年紀的軍官們也隨著趨勢堅定態度——最後，除了最高級的幾位高層，幾乎所有軍官拒絕執行鎮壓命令。\n\n軍團指揮官緩緩開口：「我知道你們的想法了，接下來我要問你們所有人一個問題，不支持的人請自行離開會議室。」他深吸一口氣，說出了自己心裡也沒譜的瘋狂計畫：「你們要跟著我去推翻政府保護國家嗎？」,
民進黨混亂已經得到控制,但只是暫時的...,B2-05,,
國民黨內的抉擇,蔣萬安市長獲得多數支持！,B2-06,當李四川和在場與會委員解釋大致情況之後，會議室裡的空氣彷彿停止了流動，在場所有中央常務委員沒有一個敢發表自己的看法。這也正常，畢竟沒人知道韓國瑜究竟想做到什麼程度，緊急會議一開始，還有委員以為這只是子虛烏有的政治抹黑，直到李四川一點點的透露實情，在場眾人才逐漸沉默下來。\n\n「四川部長，請問這份……方案是否屬實?確認不是某種軍事演習的預案或共軍再次突襲?」蔣萬安市長帶著顫抖的聲音問到，原本今晚的他只是照例下班後來松山區黨部彙報工作，順道和國民黨內的青年派代表聊聊，結果彙報到一半就被拉來這裡參加緊急會議。\n\n「是的，雖然沒辦法把那份報告親自拿給各位，但我能向各位保證韓總統圖謀戒嚴確有其事……!」李四川擦去額頭上的汗水，「如果我錯了，我心甘情願接受韓總統與中常委的懲戒決定，但我們現在正站民國命運的十字路口上!有行動總比沒行動要好!」\n\n眾人再次陷入沉默，大家面面相覷，所有人從政至今從沒遇到這種情況，把韓總統解職開除黨籍、黨主席是板上釘釘的事，但是要怎麼做?他們真的能做到嗎?\n\n「各位委員，我想我們應該先確保國民黨的內部秩序不被打亂。既然韓主席已經被確認除名，那當務之急應當是選出下一任黨主席，然後再做下一步打算。」趙少康沉穩的嗓音把在場所有人拉回現實，在場有幾位年齡大的老委員表示應該讓趙少康擔任臨時主席，但幾位年輕的常任委員卻表示激烈反對，揚言出走成立新的黨派對抗韓國瑜!\n\n雙方吵得不可開交。最後經過協商，在場所有委員一致同意投票選出下一任黨主席。李四川從票匭中取出一張張選票公示於眾，直到箱內最後一張票被取出……,
一場豪賭,「蔣總統，車已經給您備好了」,B2-07,雖然已經做了十二分的心理準備，但當手機傳來陣陣警報聲時蔣萬安還是嚇了一跳，沒過多久一輛輛卡車就包圍台北市政府，每一間辦公室、會議室甚至廁所都有士兵站崗----連市長辦公室都不例外，美其名曰「保護官員政要」。\n\n蔣萬安遵照門口哨兵的只是上交手機，在士兵的帶領下到一樓大廳集合。昨夜他和黨內同仁一起商討應對策略，還麻煩李四川等人給陳寶餘參謀托話，後者立即答應，說會在合適的時候會「趕走企圖傷害國家的獨裁者」。\n\n當然，國民黨內部也不是坐以待斃，台北黨部想辦法聯繫了中央與其他縣市的負責人，拉攏那些還願意配合台北黨部指示的官員，讓他們見機行事。\n\n蔣萬安拉起袖子看了看手錶，距離發布緊急命令已經過去三十分鐘，現在除了電視上循環播放的緊急通報之外就沒了其他消息。時間一分一秒流逝，大堂內的大小官員人心不安，特別是當總統府傳來一連串的槍響之後更是變的躁動不安，負責安置他們的士兵也變得慌亂起來。\n\n眼看局勢快要失控，蔣萬安正準備出聲安撫大堂裡的官員，一陣鏗鏘有力的嗓音穿透整座大堂----,
保守派聯合軍隊逮捕韓國瑜,撥亂反正的時刻到了！,B2-08,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
